request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Safe amount today is 15656000; selected full_payment because its payments stay above the minimum balance.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Safe amount today is 6670; selected full_payment because its payments stay above the minimum balance.
request_28,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Safe amount today is 51524; selected full_payment because its payments stay above the minimum balance.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Safe amount today is 775.2; selected installments because its payments stay above the minimum balance.
request_31,12916009.99,affordable_later,wait,none,2024-09-15,none,The full amount first passes the 90-day safety check on 2024-09-15; wait until then.
request_32,15525.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_33,53210.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Safe amount today is 129400; selected full_payment because its payments stay above the minimum balance.
request_35,90795.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_36,1230.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_37,1649199.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_38,364.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_39,196260.0,affordable_later,wait,none,2026-04-15,none,The full amount first passes the 90-day safety check on 2026-04-15; wait until then.
request_40,386.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_41,20740399.99,affordable_later,wait,none,2025-11-15,none,The full amount first passes the 90-day safety check on 2025-11-15; wait until then.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Safe amount today is 52100; selected full_payment because its payments stay above the minimum balance.
request_43,6479000.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_44,27640.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
